GEOID10,QGIS_Area,Limit_Area,%_Seguin,D001,D004,D009,D011,Neighbors
481872103005026,6.39E-07,6.39E-07,1,24,0,23,0,481872103005006  481872103005025  481872103005041  481872103005004  481872103005003  481872103005024  481872103005005
481872103005039,1.23E-06,1.23E-06,1,21,0,15,0,481872103005038  481872103005044  481872103005040  481872103005046  481872103005025  481872103005041  481872103005045  481872103005024
481872103004001,1.14E-06,1.14E-06,1,26,0,22,0,481872103005043  481872103004002  481872103004000  481872103004011  481872103005044  481872103005045  481872103004021  481872103004010
481872101003005,1.69E-06,1.69E-06,1,31,4,13,3,481872101002035  481872101002036  481872101003015  481872101003016  481872101003004  481872101002022  481872101003006
481872101002023,1.74E-06,1.74E-06,1,35,0,33,0,481872101002035  481872101002004  481872101002024  481872101002034  481872101002022  481872101002025  481872101002021
481872101003001,1.37E-06,1.37E-06,1,20,0,17,1,481872101003025  481872101003026  481872101003002  481872101003000  481872101002020  481872101002019  481872101003024
481872104003002,3.06E-06,3.06E-06,1,0,0,0,0,481872104003012  481872104003005  481872104003000  481872104003014  481872101002001  481872101002002  481872104003004  481872104003003  481872101002000  481872104003015
481872103003035,1.56E-08,1.56E-08,1.000000001,0,0,0,0,481872103003030  481872103003033  481872108013002  481872108013001
481872103003036,9.77E-09,9.77E-09,0.9999999994,0,0,0,0,481872103003030  481872108013004  481872108013001
481872105041064,3.57E-06,3.57E-06,0.9999999999,0,0,0,0,481872105041046  481872105041062  481872105041065  481872105041045
481872108041000,8.57E-06,8.48E-08,0.009888266909,0,0,0,0,481872108041031  481872105041078  481872108041004  481872108041032
481872108031006,3.74E-05,1.95E-05,0.5213384981,0,0,0,0,481872108031004  481872108031005  481872108011037  481872108031003  481872108031001  481872108031007  481872108031008  481872108011042  481872108011048
481872109022019,4.44E-06,4.44E-06,0.9999999999,0,0,0,0,481872109022018  481872109022020  481872109022023  481872109022004  481872109022001
481872104001001,1.01E-06,1.01E-06,1,0,0,0,0,481872104001014  481872104001015  481872104001000  481872104001009
481872104001014,4.31E-06,4.31E-06,0.9999999999,73,0,25,0,481872104001001  481872104001015  481872104001021  481872104001009  481872104001010
481872104001027,2.32E-06,2.32E-06,1,36,0,11,0,481872104001025  481872104001026  481872104001009
481872109021039,1.80E-05,9.77E-07,0.05436723085,0,0,0,0,481872108012007  481872109021040  481872108012009  481872109021030  481872104002041  481872104002042
481872105041046,1.18E-06,1.18E-06,1,0,0,0,0,481872105041064  481872105041062  481872105041048  481872105041047  481872105041045
481872105041085,2.34E-06,2.34E-06,1,0,0,0,0,481872105041094  481872105041083
481872105041062,0.000186161938,0.000186161938,1,187,16,107,0,481872105041064  481872105041046  481872105041063  481872105041048  481872105041059  481872105041066  481872105041049  481872105041067  481872105041047  481872105041065  481872105041071  481872105041050
481872108011068,7.99E-05,7.99E-05,1,43,0,24,0,481872108011027  481872108013000  481872108011067  481872103001012  481872103003004  481872108011070  481872108011060  481872103003005  481872108011069  481872108011029  481872108013001
481872105042001,0.0006307419545,3.80E-05,0.06022004132,30,0,4,0,481872105042002
481872105041041,1.65E-06,2.73E-07,0.1655113691,0,0,0,0,481872105041035  481872105041042
481872101003030,1.30E-06,1.30E-06,1,20,0,9,0,481872101004002  481872101003029  481872101004000  481872101004001  481872101003025  481872101003026  481872101003024  481872101003031
481872101004002,1.18E-06,1.18E-06,1,25,1,3,0,481872101003030  481872101003028  481872101003029  481872101004003  481872101004017  481872101004001  481872101004018  481872101004019
481872101004022,1.22E-06,1.22E-06,1,16,2,5,0,481872101004024  481872101004020  481872101004027  481872101004021  481872101004018  481872101004019  481872101004023
481872103005043,2.30E-06,2.30E-06,1,20,1,13,0,481872103004001  481872104002025  481872103004000  481872103005044  481872103005040  481872103005042  481872103005041  481872104002026
481872101004024,1.37E-06,1.37E-06,1,13,0,1,0,481872101004022  481872101004021  481872101004025  481872101004023  481872101004026  481872104003028  481872104001004
481872104003023,3.90E-06,3.90E-06,1,0,0,0,0,481872104001002  481872104003007  481872104001000  481872104001003  481872104003022  481872104003024  481872104001004  481872104003021
481872104002013,1.21E-06,1.21E-06,1,18,2,6,0,481872104001005  481872104002011  481872104002009  481872104002010  481872104001006  481872104002015  481872104001004  481872104002012  481872104002014
481872104001005,2.96E-06,2.96E-06,1,11,0,2,0,481872104002013  481872104002016  481872104002007  481872104001006  481872104002015  481872104001004  481872104002014  481872104002006  481872104001023
481872103002001,1.19E-05,1.19E-05,1,87,5,57,0,481872103002003  481872103002039  481872103004045  481872103002002  481872103002038  481872103004009  481872103002000  481872103004013  481872103002005  481872103002030  481872103004037  481872103002004  481872103002006  481872103004042
481872103002003,4.23E-07,4.23E-07,1,11,0,8,0,481872103002001
481872108012008,3.35E-06,3.35E-06,1,0,0,0,0,481872108012001  481872108012007  481872108012009  481872104002040  481872104002041  481872104002042  481872108012000
481872108012002,7.55E-06,7.55E-06,1,0,0,0,0,481872103003030  481872108012001  481872103003029  481872104002040  481872108013005  481872108012000  481872108012004  481872104002026  481872104002032  481872103004050  481872108012003  481872108013001
481872108031004,1.31E-06,1.31E-06,0.9999999998,0,0,0,0,481872108031006  481872108031005  481872108031009  481872108031003  481872108031001  481872108031010  481872108031011
481872108031012,8.70E-05,1.10E-06,0.01263625626,80,2,40,0,481872108031005  481872108031014  481872108031011
481872108031005,5.92E-05,5.80E-06,0.09804753399,115,0,48,0,481872108031006  481872108031004  481872108031012  481872108011042  481872108011048  481872108031011  481872108031020
481872105042022,7.99E-05,7.88E-05,0.9863585392,6,0,2,0,481872105082014  481872105042021  481872105042039  481872105082013  481872105082003  481872105042023
481872101002035,1.71E-06,1.71E-06,1,16,0,14,0,481872101003005  481872101002023  481872101002036  481872101002033  481872101002034  481872101002022  481872101003006
481872105041025,1.69E-06,1.69E-06,1,48,6,12,0,481872105041024
481872105042060,4.59E-06,4.56E-06,0.9951591749,26,0,8,0,481872105042040  481872105042048  481872105042052  481872105042059  481872105042069  481872105042051  481872105042061
481872105042036,7.38E-06,7.38E-06,0.9994013944,3,2,0,0,481872105042035  481872105042037  481872105042043
481872105042032,0.0002736690415,1.85E-06,0.006761598041,95,3,18,0,481872105042048  481872105042029  481872105042030  481872105042049  481872105042031
481872101003028,1.27E-06,1.27E-06,0.9999999999,16,0,8,0,481872101004002  481872101003029  481872101004003  481872101003032  481872101003004  481872101003027  481872101003026  481872101004004
481872101003029,1.31E-06,1.31E-06,1,21,0,8,0,481872101003030  481872101004002  481872101003028  481872101004003  481872101004001  481872101003025  481872101003027  481872101003026
481872101004020,1.44E-06,1.44E-06,1,23,0,12,0,481872101004022  481872101004021  481872101004000  481872101004001  481872101004019  481872104003028  481872104003027
481872104002011,1.25E-06,1.25E-06,1,21,0,14,0,481872104002013  481872101004027  481872104002010  481872101004025  481872104002023  481872104002017  481872101004026  481872104002012
481872104002016,1.18E-06,1.18E-06,1,0,0,0,0,481872104001005  481872104002009  481872104002007  481872104002015  481872104002006  481872104002008
481872103002034,1.05E-06,1.05E-06,0.9999999999,26,5,20,3,481872103002039  481872103002040  481872103002004  481872103002008  481872103002028
481872103004035,1.12E-06,1.12E-06,1,27,0,19,0,481872103004032  481872103004038  481872103004022  481872103004036  481872103004034  481872103004031  481872103004037  481872103004039
481872103004047,1.42E-06,1.42E-06,1,63,7,43,4,481872103003021  481872103004046  481872103004042
481872104002027,3.99E-06,3.99E-06,1,5,0,3,0,481872104002031  481872104002030  481872104002026
481872108012020,5.28E-06,5.28E-06,1,57,3,43,2,481872108012010  481872108012022  481872108013026  481872108012019  481872108012024  481872108012004  481872108012025  481872108012021
481872108031009,1.86E-07,1.86E-07,1,0,0,0,0,481872108031004  481872108031015  481872108031002  481872108031003  481872108031016  481872108031010  481872108031011
481872108011030,0.0001420503055,8.57E-05,0.6031464573,225,11,60,0,481872108011027  481872108011053  481872108011026  481872108011071  481872108011031  481872108011069
481872103005055,5.98E-07,5.98E-07,1,22,2,20,0,481872103005029  481872103004009  481872103002000  481872103005054  481872103005028  481872103002029
481872108011084,2.40E-05,2.38E-05,0.9940442744,82,12,26,0,481872108011085  481872108013014  481872108013026  481872108011083  481872108011086  481872108011079
481872105041080,7.90E-05,3.73E-06,0.04722777591,94,5,26,2,481872105041082  481872105041087  481872105041094  481872105041059  481872105041078  481872105041058  481872105041088  481872105041083  481872105041061  481872105041060
481872105041016,2.12E-06,2.12E-06,0.9999999999,54,1,28,0,481872105041000  481872105041002  481872105041001
481872104002031,4.95E-06,4.95E-06,1,12,2,4,0,481872104002027  481872104002029  481872104002030  481872104002026
481872108012014,6.48E-05,6.48E-05,1,20,0,8,0,481872108012011  481872108012010  481872109021030  481872109021033  481872108012029  481872108011081  481872108011080  481872108012015  481872108012030  481872108011082  481872108012016  481872108011079
481872104002043,8.26E-07,8.26E-07,0.9999999998,0,0,0,0,481872104002033  481872104002000  481872109021041  481872109021043  481872104002001  481872104002036  481872104001007
481872104003012,2.63E-06,2.63E-06,1,58,0,27,0,481872104003002  481872104003005  481872104003007  481872104003017  481872104003006  481872104003015  481872104003016
481872105041022,0.000318120369,0.000318120369,1,209,11,155,0,481872105041023  481872105041040  481872105041021  481872105041069  481872105041000  481872102002005  481872105041024  481872105041005  481872105041026  481872102001000  481872102001003  481872105041045
481872105041023,3.52E-06,3.52E-06,1,108,6,90,1,481872105041022
481872109022005,1.97E-06,9.28E-07,0.4711801421,0,0,0,0,481872109022004  481872109022006  481872109022007
481872104001015,3.31E-05,3.27E-05,0.9886454681,63,6,8,0,481872104001001  481872104001014  481872104001021  481872104001018  481872104001019  481872104001020  481872104001025  481872104001016  481872109021018  481872109021013  481872104001000  481872104001009  481872109021023  481872104001017
481872104001021,2.25E-06,2.25E-06,1,28,0,8,0,481872104001014  481872104001015  481872104001012  481872104001020  481872104001010
481872104001028,1.90E-06,1.90E-06,1,20,0,1,0,481872104001018  481872104001019  481872104001020  481872104001016  481872104001017
481872104001018,7.79E-07,7.79E-07,0.9999999999,5,0,5,0,481872104001015  481872104001028  481872104001016  481872104001017
481872108041043,8.41E-07,8.41E-07,0.9999999994,0,0,0,0,481872108031002  481872108041055  481872108041042  481872108041044  481872108041023  481872108031000
481872108031015,7.97E-07,7.97E-07,1,0,0,0,0,481872108031009  481872108031016  481872108031010  481872108031014  481872108031017  481872108031011
481872109011041,0.001020938155,1.51E-05,0.01480500715,102,0,43,0,481872109011183  481872105042056  481872109011044  481872109011185  481872109011184  481872109011180
481872108012011,6.19E-06,6.19E-06,1,15,0,3,0,481872108012014  481872108012010  481872109021030  481872109021033
481872104002037,2.54E-06,2.54E-06,1,29,1,5,2,481872104002033  481872104002001
481872108011090,5.72E-06,5.72E-06,0.9999999999,0,0,0,0,481872108011089  481872109021047  481872108011091  481872109021048
481872104003005,2.51E-06,2.51E-06,1,49,1,21,0,481872104003002  481872104003012  481872104003007  481872104003000  481872104003006  481872104003015  481872104003001
481872104003010,2.13E-06,2.13E-06,1,0,0,0,0,481872104003007  481872104001000
481872104001012,5.01E-06,5.01E-06,1,77,0,18,0,481872104001021  481872104001020  481872104001009  481872104001010
481872104001019,9.39E-07,9.39E-07,1,6,0,0,0,481872104001015  481872104001028  481872104001020  481872104001016
481872109021017,0.000167891962,6.85E-09,4.08E-05,82,0,22,0,481872109021018
481872108011056,2.67E-07,2.45E-07,0.918022414,0,0,0,0,481872108011055  481872108011066
481872103001019,4.76E-06,4.76E-06,1,59,5,54,0,481872103001022  481872103001024  481872103001025  481872102004011  481872103005016  481872103005015  481872103001020  481872103001000  481872102004029  481872103001026  481872103001001  481872102004028  481872102004027
481872108031002,5.65E-07,5.65E-07,1,0,0,0,0,481872108031009  481872108041043  481872108031003  481872108031001  481872108031016  481872108041042  481872108031000
481872109011176,0.000610867876,2.39E-05,0.03919739396,61,2,11,0,481872109011202  481872109022004  481872109022007  481872109011179  481872109011181  481872109011182  481872109011180
481872108012007,3.67E-05,3.67E-05,1,78,10,14,0,481872108012001  481872109021039  481872108012008  481872108012010  481872108012009  481872109021030  481872108012006  481872108012012  481872108012013  481872108012000  481872108012004
481872108011016,4.66E-07,4.66E-07,1,0,0,0,0,481872108011003  481872108011017  481872108011014  481872108011015  481872108011002
481872105041006,0.0001112897025,6.09E-08,0.0005475497349,206,0,57,2,481872105041026
481872105041086,2.57E-06,2.57E-06,1,0,0,0,0,481872105041059  481872108011000  481872105041083  481872108011001
481872103001008,3.39E-06,3.39E-06,1,87,4,58,3,481872103001009  481872103001007  481872103001018  481872103001017  481872103001003  481872103001000
481872103005012,1.98E-06,1.98E-06,1,72,18,42,3,481872103005029  481872102004033  481872103005011  481872103005031  481872102004025  481872103005030  481872103005013
481872103003034,2.71E-07,2.71E-07,1,0,0,0,0,481872103003030  481872108013004  481872108013001
481872105042040,0.0001673840545,1.49E-06,0.008890888747,10,0,3,3,481872105042060  481872105042034  481872105042041  481872105042061
481872105062049,0.0001487209845,0.000145545163,0.9786457742,0,0,0,0,481872105062034  481872105042008  481872105062035  481872105042007  481872105062050
481872108011064,3.88E-05,8.61E-07,0.02218567024,28,7,10,1,481872108011065  481872108011055
481872102002019,3.15E-06,3.15E-06,1,0,0,0,0,481872102002000  481872102002001  481872102003003  481872102002020  481872102003005  481872102002018  481872102002021  481872102003002  481872102003004
481872104002029,9.89E-06,9.89E-06,1,67,12,34,0,481872104002031  481872103004033  481872104002030  481872103004034  481872103004019  481872103004027  481872103004028  481872104002026  481872103004039  481872103004021  481872104002044  481872103004020  481872103004010
481872101001012,3.68E-06,3.68E-06,1,70,7,39,0,481872101001015  481872101001013  481872101001010  481872101001007  481872101001014  481872101001016
481872102002000,1.04E-06,1.04E-06,1,0,0,0,0,481872102002019  481872102002001  481872102001035  481872101001023  481872102002020  481872101002030  481872102002022  481872102002021  481872101002011  481872101002031
481872102002001,5.02E-07,5.02E-07,0.9999999999,0,0,0,0,481872102002019  481872102002000  481872102001035  481872102002002  481872102002015  481872102002020  481872102002018  481872102002021  481872102001021
481872103002023,7.20E-06,7.20E-06,1,95,10,36,2,481872103002024  481872103002020  481872103003026  481872103002035  481872103002031  481872103002008  481872103002006  481872103002007
481872105042038,2.60E-05,2.59E-05,0.9987470714,26,0,9,0,481872105082014  481872105082020  481872105042021  481872105042037  481872105042039
481872109011183,0.0001673105445,0.0001644853857,0.9831142814,12,0,3,0,481872109011041  481872109022000  481872105042056  481872109022001  481872109011185  481872109011184  481872109011182
481872108011075,0.000729154707,1.13E-06,0.001544490298,347,3,72,2,481872108011065
481872101004046,9.35E-07,9.35E-07,1,0,0,0,0,481872101004045  481872101004048  481872101004038  481872101004040  481872101004054  481872101004047  481872101004039
481872103005001,1.00E-06,1.00E-06,0.9999999999,43,4,37,0,481872103005000  481872103005042  481872103005002  481872103005041  481872104002020
481872104002024,5.36E-07,5.36E-07,1,9,0,9,0,481872104002025  481872104002022  481872104002023  481872103005042  481872104002019  481872104002020
481872104002025,2.42E-06,2.42E-06,1,2,0,0,0,481872103005043  481872104002024  481872103004000  481872104002033  481872104002022  481872104002023  481872103005042  481872104002021  481872104002026
481872104001002,3.26E-06,3.26E-06,1,0,0,0,0,481872104003023  481872104003007  481872104002000  481872104001000  481872104001003  481872104002001  481872104001007  481872104001004
481872103002039,1.20E-06,1.20E-06,0.9999999999,15,0,15,0,481872103002001  481872103002034  481872103002040  481872103002038  481872103002004  481872103002007
481872103004045,3.15E-06,3.15E-06,1,14,0,13,0,481872103002001  481872103003021  481872103004046  481872103003026  481872103002005  481872103002037  481872103004042
481872103004043,7.90E-08,7.90E-08,1,0,0,0,0,481872103004048  481872103003021  481872103004042  481872103003027
481872103004032,5.69E-07,5.69E-07,0.9999999999,4,0,2,0,481872103004035  481872103004033  481872103004030  481872103004029  481872103004034  481872103004031  481872103004028
481872103004033,5.55E-07,5.55E-07,1,24,2,19,4,481872104002029  481872103004032  481872103004029  481872103004034  481872103004028
481872108012010,7.50E-05,7.50E-05,1,42,4,22,0,481872108012020  481872108012014  481872108012011  481872108012007  481872109021030  481872108012018  481872108012012  481872108012013  481872108012019  481872108012004  481872108012016
481872108011085,1.20E-05,1.20E-05,1,30,10,11,0,481872108011084  481872108013014  481872108013026  481872108011087  481872108011083  481872108011086
481872105041040,0.000282295926,0.000282295926,1,87,5,35,1,481872105041022  481872105041035  481872105041069  481872105041024  481872105041042  481872105041026  481872105041028  481872105041045  481872105041039
481872105041021,0.000216278748,0.000216278748,1,34,0,32,0,481872105041022  481872105041000  481872105041093  481872102001000  481872105041020  481872102001003
481872101001025,1.15E-06,1.15E-06,1,16,0,11,0,481872102001035  481872101001023  481872102001033  481872102001034
481872102001035,6.43E-06,6.43E-06,1,0,0,0,0,481872102002000  481872102002001  481872101001025  481872102002002  481872101001023  481872102001031  481872102001034  481872102001030  481872101002011  481872102001021
481872101001009,5.94E-06,5.94E-06,1,0,0,0,0,481872101001005  481872101001004  481872101001008  481872101001003  481872101001002  481872101001007
481872102003025,2.23E-06,2.23E-06,1,91,16,72,0,481872102003020  481872102003024  481872102004007  481872102004006  481872102003026  481872102003019  481872102003023
481872105041082,2.95E-07,2.95E-07,0.9999999998,15,0,12,0,481872105041080  481872105041094  481872105041084  481872105041083  481872105041060
481872105082014,1.20E-05,1.20E-05,0.9998939912,0,0,0,0,481872105042022  481872105042038  481872105082020  481872105042039  481872105082013
481872105082020,1.63E-05,1.49E-05,0.9177123264,4,0,4,0,481872105042038  481872105082014  481872105041000  481872105042037  481872105042043
481872105042048,1.09E-05,9.66E-06,0.8854459768,45,0,9,0,481872105042060  481872105042032  481872105042050  481872105042052  481872105042059  481872105042049
481872103002002,1.19E-06,1.19E-06,0.9999999998,31,3,19,0,481872103002001  481872103002000  481872103002030  481872103002004  481872103002029  481872103002028
481872103002033,9.15E-07,9.15E-07,1,53,4,45,0,481872103002024  481872103002025  481872103002032  481872103002035  481872103002036
481872109021040,1.60E-06,1.44E-06,0.9027196596,0,0,0,0,481872109021039  481872104002033  481872104002041  481872109021041  481872104002042
481872108011019,7.42E-07,7.42E-07,1,0,0,0,0,481872108011003  481872108011005  481872108011017  481872108011004  481872108011002  481872108011006
481872108012009,5.77E-08,5.77E-08,0.9999999999,0,0,0,0,481872109021039  481872108012008  481872108012007  481872109021030  481872104002041  481872104002042
481872108011052,7.03E-06,6.35E-08,0.009029269057,0,0,0,0,481872108011021  481872108011041  481872108011051  481872108011042  481872108011040
481872108013014,0.0001449505265,0.0001449505265,1,590,41,232,9,481872108011084  481872108011085  481872108013013  481872108013023  481872108013022  481872108013026  481872108013005  481872108011087  481872108013017  481872108013020  481872108011083  481872108013021  481872108013016  481872108011086  481872108013018  481872108013019  481872108013025  481872108013009  481872108013015
481872105041087,1.51E-07,1.51E-07,1,0,0,0,0,481872105041080  481872105041094  481872105041078  481872105041088  481872108011023  481872105041083  481872108011013  481872108011001
481872103004002,1.21E-06,1.21E-06,1,4,0,4,0,481872103004001  481872103005044  481872103005046  481872103005045  481872103004021  481872103004020  481872103004003  481872103004010
481872104003019,2.75E-06,2.75E-06,1,52,8,13,1,481872104003013  481872104003014  481872104003018  481872104003015  481872104003016
481872103003029,4.11E-06,4.11E-06,1,0,0,0,0,481872103003030  481872108012002  481872103003021  481872103004049  481872103003028  481872103004050
481872102001006,1.46E-05,1.46E-05,1,0,0,0,0,481872102001007  481872101001027  481872102001001  481872102001002  481872101001007  481872102001005
481872105042021,0.000323819426,2.86E-06,0.008821644595,73,0,21,0,481872105042022  481872105042038  481872105042037  481872105042039
481872105042053,4.77E-06,4.77E-06,1,67,0,9,0,481872105042050  481872105042052  481872105042069  481872105042051
481872105041032,4.47E-06,5.42E-07,0.1212933508,0,0,0,0,481872105041031  481872106061019
481872103003006,1.66E-06,1.66E-06,1,27,0,16,0,481872103003008  481872103003021  481872103003005
481872108013013,1.16E-05,1.16E-05,1,98,6,34,2,481872108013014  481872108013006  481872108013005  481872108013017  481872108013020  481872108013018  481872108013027  481872108013015
481872108011003,1.67E-06,1.67E-06,1,0,0,0,0,481872108011016  481872108011019  481872108011017  481872108011018  481872108011015  481872108011002
481872104002040,3.64E-06,3.64E-06,1,0,0,0,0,481872108012008  481872108012002  481872104002033  481872104002041  481872108012000  481872104002026  481872104002032
481872109011202,4.97E-07,4.97E-07,0.9999999999,0,0,0,0,481872109011176  481872109022004  481872109022001  481872109022007  481872109011182
481872109021030,0.0005501404885,1.64E-05,0.02977440885,559,14,220,0,481872109021039  481872108012014  481872108012011  481872108012007  481872108012010  481872108012009  481872108011089  481872109021033  481872109021047  481872108012015  481872108012030
481872108012023,1.07E-06,1.07E-06,1,20,9,3,0,481872108012028  481872108012018  481872108012019  481872108012024  481872108012025  481872108012027  481872108012026
481872108012028,1.11E-06,1.11E-06,0.9999999999,54,7,46,0,481872108012023  481872108012018  481872108012027  481872108012017  481872108012016
481872108011089,0.000511517673,1.02E-05,0.02000628023,159,3,44,0,481872108011090  481872109021030  481872109021047  481872108011091  481872108011078  481872108011079
481872104003007,7.03E-05,7.03E-05,0.9999717239,463,11,147,2,481872104003023  481872104003012  481872104003005  481872104003010  481872104001002  481872104003017  481872104003008  481872109022026  481872104001000  481872104003000  481872104003022  481872109022020  481872104003006  481872109021012  481872104003011  481872104003009  481872104003016
481872104003017,2.82E-06,2.82E-06,0.9999999999,45,0,6,0,481872104003012  481872104003007  481872104003015  481872104003016
481872109022018,4.37E-06,4.37E-06,1,0,0,0,0,481872109022019  481872109022023  481872109022017  481872109022001  481872109022013
481872104003008,1.79E-07,1.79E-07,1,0,0,0,0,481872104003007  481872104003022  481872104003011  481872104003016
481872104001020,8.85E-06,8.85E-06,1,70,2,16,0,481872104001015  481872104001021  481872104001028  481872104001012  481872104001019  481872104001009  481872104001017
481872104001025,9.39E-06,9.39E-06,1,151,3,60,0,481872104001027  481872104001015  481872109021018  481872104001026  481872109021021  481872104001009  481872104001024  481872104001007  481872109021023  481872109021019
481872108011037,1.11E-06,1.11E-06,1,0,0,0,0,481872108031006  481872108011036  481872108011033  481872108031007  481872108011050  481872108031008  481872108011038  481872108011048
481872108011021,4.59E-06,1.56E-07,0.03403336336,0,0,0,0,481872108011052  481872108011054  481872108011022  481872108011053  481872108011017  481872108011051  481872108011014  481872108011040  481872108011025
481872105042042,7.71E-05,7.71E-05,1,8,0,1,0,481872105041000  481872105042035  481872105041018  481872105042041  481872105041019  481872105042047  481872105042046  481872105042043
481872101001024,1.55E-06,1.55E-06,1,50,0,50,0,481872101001023
481872101003013,6.69E-07,6.69E-07,1,6,0,1,0,481872101003015  481872101003011  481872101003012  481872101003008  481872101003007  481872101003014  481872101003006
481872109021033,1.91E-05,5.53E-07,0.02892586622,179,10,54,0,481872108012014  481872108012011  481872109021030
481872103004012,6.96E-08,6.96E-08,0.9999999993,0,0,0,0,481872103004011
481872105042050,0.0001015224715,0.0001015224715,1,89,1,11,5,481872105042048  481872105042053  481872105041091  481872105042054  481872105042052  481872105041090  481872105042045  481872105042059  481872105042041  481872105041019  481872105042049  481872105042046  481872105042051  481872105042044  481872109022014  481872101001000  481872105042061
481872108011027,3.33E-05,3.33E-05,1,4,0,0,0,481872108011068  481872108011030  481872108011005  481872108011011  481872108011026  481872108011012  481872103001012  481872103003004  481872108011028  481872108011069  481872108011020  481872108011029
481872108011054,5.26E-07,5.26E-07,0.9999999993,0,0,0,0,481872108011021  481872108011053  481872108011017  481872108011051  481872108011032  481872108011031
481872105041035,6.71E-05,4.73E-07,0.007049159408,319,5,41,0,481872105041041  481872105041040  481872105041042  481872105041039
481872108011022,1.14E-07,1.14E-07,1,0,0,0,0,481872108011021  481872108011017  481872108011014  481872108011023  481872108011024  481872108011013  481872108011040  481872108011025
481872108011041,1.27E-06,1.10E-06,0.8647094874,4,0,0,0,481872108011052  481872108011047  481872108011038  481872108011046  481872108011042  481872108011040
481872102002002,5.43E-06,5.43E-06,1,0,0,0,0,481872102002001  481872102001035  481872102002015  481872102002011  481872102001004  481872102002018  481872102002009  481872102002004  481872102002012  481872102002003  481872102001021  481872102002008  481872102001005
481872101001005,6.24E-05,6.24E-05,1,0,0,0,0,481872101001009  481872101001004  481872109022015  481872109022025  481872101001006  481872101001008  481872101002002  481872101001003  481872101002000  481872101001026  481872109022014  481872101001000
481872102001017,1.64E-06,1.64E-06,1,55,10,34,0,481872102001019  481872102001007  481872102001016  481872102001021  481872102001018
481872105041069,1.85E-06,1.85E-06,1,0,0,0,0,481872105041022  481872105041040  481872102002005  481872105041070  481872105041065  481872102001003  481872102002006  481872105041045  481872105041068
481872102003010,5.28E-07,5.28E-07,1,10,0,10,0,481872102003012  481872102002027  481872102003014  481872102003013  481872102003009  481872102002030  481872102002028
481872103001002,1.16E-06,1.16E-06,1,8,0,7,0,481872102003015  481872103001007  481872102003014  481872103001003  481872103001000
481872102003015,7.33E-06,7.33E-06,1,141,23,96,3,481872103001002  481872102003014  481872102002030  481872102002009  481872103001004  481872103001003  481872103001000
481872108011005,0.000160057654,0.000160057654,1,58,0,42,0,481872108011019  481872108011027  481872108011011  481872108011026  481872108011012  481872108011009  481872108011004  481872108011000  481872108011010  481872108011002  481872108011008  481872108011007  481872108011020  481872108011006
481872101002036,1.73E-06,1.73E-06,1,8,0,1,0,481872101003005  481872101002035  481872101002032  481872101002037  481872101002033  481872101002034  481872101003007  481872101003006
481872104001016,2.15E-06,2.15E-06,1,13,0,3,0,481872104001015  481872104001028  481872104001018  481872104001019
